sector,sex,name,total
Jewish,F,סיגל,5567
Jewish,F,רוזי,431
Jewish,F,היא-לי,147
Jewish,M,ניקולס,109
Muslim,F,פאדיה,689
Jewish,M,יעקב,48075
Muslim,F,ביאן,3732
Jewish,M,שגב,1501
Muslim,F,נהאד,302
Jewish,F,תום,1084
Jewish,F,ג'ולי,247
Jewish,M,אמנון,4514
Jewish,F,ליה,12044
Muslim,F,נסמה,270
Christian,M,אסעד,233
Jewish,F,אושרה,982
Muslim,F,ארווה,107
Jewish,M,צבי,13868
Muslim,F,מאסה,854
Christian,M,אלי,210
Jewish,F,הגר,2891
Muslim,F,דוחא,1138
Jewish,F,ליאורה,4313
Muslim,M,עליאן,162
Muslim,F,מנה,153
Christian,F,ורדה,124
Jewish,F,קלי,167
Christian,M,באסם,476
Christian,F,שדא,110
Jewish,F,כינרת,133
Christian,M,תאופיק,301
Muslim,M,תיים,917
Muslim,F,ארגואן,117
Muslim,F,עאידה,1492
Christian,M,עזמי,158
Jewish,F,סולי,235
Jewish,F,ליבה,251
Jewish,F,קלודין,112
Druze,M,ג'אד,145
Druze,M,עפיף,154
Jewish,M,לישי,335
Muslim,M,גוד,1160
Jewish,F,שי-לי,4749
Jewish,F,רוניה,128
Jewish,M,יוני,1299
Jewish,M,גדליה,500
Muslim,M,חמדאללה,115
Jewish,F,תם,238
Druze,M,דניאל,616
Druze,F,שהד,157
Christian,F,מירא,300
Muslim,M,מסעוד,141
Muslim,M,בשיר,799
Jewish,M,ערן,9992
Muslim,F,תמארה,272
Muslim,M,דאהר,191
Muslim,F,ניג'מה,143
Druze,F,נוהא,105
Muslim,F,נג'וא,348
Muslim,M,מורסי,230
Jewish,F,זמירה,443
Jewish,F,גולדי,216
Christian,M,אדואר,179
Jewish,F,אסתר,44657
Druze,F,מראם,211
Muslim,F,מירפת,137
Jewish,M,גלעד,9138
Muslim,F,לולו,197
Other,F,איה,117
Christian,M,ג'יריס,797
Muslim,F,רוונד,107
Muslim,F,דימא,2958
Jewish,M,נח,1246
Muslim,M,כאלד,164
Jewish,M,אור-אל,112
Other,F,ליה,441
Jewish,M,יערי,164
Christian,F,נור,302
Muslim,M,טאהר,562
Jewish,M,נורי,254
Jewish,F,נינה,1202
Muslim,F,רמזיה,157
Muslim,F,זמזם,274
Druze,F,לורין,168
Muslim,M,עאהד,497
Muslim,M,אסלאם,1431
Jewish,F,אחינועם,1919
Christian,M,סמר,575
Muslim,M,חמיד,241
Muslim,F,מיאר,2358
Muslim,F,ג'נאן,415
Muslim,M,איהאב,2413
Muslim,M,נאפז,166
Muslim,F,ריהאן,102
Jewish,M,יום,462
Druze,M,יזן,378
Other,M,איתי,527
Muslim,M,סלים,2642
Jewish,F,סימה,4725
Jewish,F,דבי,210
Jewish,F,שובה,104
Jewish,M,יותם,5921
Jewish,F,זהבה,6749
Jewish,M,מקס,475
Druze,F,רזאן,222
Muslim,M,כאיד,739
Other,M,אריק,398
Jewish,M,נתן,11322
Jewish,F,הילית,336
Muslim,M,מוחסן,303
Other,F,אילנה,291
Jewish,F,ברקת,312
Muslim,M,מועין,526
Other,F,ליאן,391
Muslim,F,לינדה,582
Jewish,F,יענטא,193
Jewish,M,עידן,18879
Jewish,F,רוית,3271
Christian,F,מראם,133
Muslim,F,קיאן,473
Jewish,M,תובל,301
Jewish,F,אלונה,3277
Druze,M,הישאם,137
Jewish,F,צמרת,143
Muslim,M,ראשד,494
Other,F,אלה,238
Jewish,F,צפרירה,220
Christian,F,פריאל,115
Druze,M,עומר,153
Jewish,F,נדיה,127
Muslim,F,מריאנה,530
Jewish,F,רמה,389
Christian,F,נאדיא,153
Jewish,F,סלעית,189
Jewish,F,אופירה,1087
Other,F,פולינה,204
Jewish,F,צביה,4176
Christian,M,זוהייר,112
Muslim,M,גסאן,769
Jewish,M,נדיר,164
Muslim,F,זהריה,111
Muslim,M,מאהר,2141
Jewish,F,מישל,2394
Jewish,M,טוב,109
Jewish,F,נהרה,143
Other,F,אלין,324
Druze,M,ויאם,241
Jewish,F,אורנית,1246
Jewish,F,רחלי,3522
Other,M,גבריאל,541
Jewish,M,שיראל,137
Druze,F,ליאן,456
Muslim,F,סוהא,1749
Christian,F,ספא,105
Muslim,F,שהרזאד,220
Muslim,F,איח'לאס,385
Jewish,F,נאורה,165
Jewish,F,גרציה,162
Muslim,F,ועד,790
Jewish,F,בתאל,835
Muslim,F,כיפאיה,104
Muslim,M,משהור,154
Druze,F,דנה,205
Jewish,M,זבולון,290
Druze,F,איה,503
Jewish,F,אלמז,139
Muslim,M,מועתז,2536
Christian,M,נור,255
Muslim,F,אלאא,5091
Muslim,M,עמראן,1917
Jewish,F,חביבה,718
Muslim,F,נהאל,199
Jewish,F,אשירה,270
Jewish,M,עדיאל,2018
Jewish,M,שילה,4010
Jewish,F,סיון,9736
Jewish,F,לישי,277
Muslim,F,ג'יהאד,473
Muslim,F,סגוד,385
Jewish,M,ים,1511
Jewish,F,רעכיל,154
Jewish,M,שלמה,33328
Druze,M,מהדי,128
Jewish,F,יונית,1417
Jewish,M,יששכר,1343
Other,M,מירון,185
Jewish,F,אליס,1400
Druze,M,מלאק,113
Druze,M,האני,248
Jewish,M,יורי,122
Other,M,סטיבן,191
Jewish,F,ארגמן,123
Jewish,M,עמרם,1976
Jewish,F,מילי,1002
Jewish,M,מידד,217
Jewish,F,קרינה,290
Christian,F,ריתא,116
Jewish,M,רנן,214
Jewish,F,שנאל,186
Jewish,M,חנוך,2077
Muslim,F,תולאי,270
Muslim,F,פרידה,372
Jewish,M,יהורם,244
Jewish,F,חבצלת,644
Muslim,F,אסאלה,767
