sector,sex,name,total
Jewish,F,מילנה,335
Jewish,F,בת ציון,330
Jewish,F,עיינה,330
Jewish,F,עופר,330
Jewish,F,הלני,329
Jewish,F,דרורית,327
Jewish,F,פרל,324
Jewish,F,קמה,323
Jewish,F,אניטה,322
Jewish,F,עטל,320
Jewish,F,רוז,319
Jewish,F,נופית,318
Jewish,F,פרידא,317
Jewish,F,מתן,316
Jewish,F,היילי,316
Jewish,F,פרלה,314
Jewish,F,אושרי,314
Jewish,F,ימימה,313
Jewish,F,ברקת,312
Jewish,F,ריבה,310
Jewish,F,שולי,310
Jewish,F,רגינה,309
Jewish,F,ג'ני,308
Jewish,F,נהורה,307
Jewish,F,קוראל,305
Jewish,F,נצחיה,304
Jewish,F,אבלין,304
Jewish,F,מריה,304
Jewish,F,אטי,303
Jewish,F,אנאבל,303
Jewish,F,מורין,303
Jewish,F,שריי,303
Jewish,F,גנית,300
Jewish,F,קטרין,299
Jewish,F,סאלי,297
Jewish,F,אנט,295
Jewish,F,צוף,294
Jewish,F,צאלה,292
Jewish,F,אלקה,290
Jewish,F,קרינה,290
Jewish,F,שאנל,290
Jewish,F,חפציבה,287
Jewish,F,לורי,287
Jewish,F,לי-אור,287
Jewish,F,מאשה,286
Jewish,F,אלירז,286
Jewish,F,יאנה,285
Jewish,F,מזי,284
Jewish,F,רחלה,283
Jewish,F,ריטה,283
Jewish,F,שיינה,281
Jewish,F,תמרי,280
Jewish,F,דוריס,279
Jewish,F,לישי,277
Jewish,F,אראל,275
Jewish,F,אליאור,274
Jewish,F,ענב,273
Jewish,F,בריינדל,273
Jewish,F,אשירה,270
Jewish,F,לינה,269
Jewish,F,נרקיס,269
Jewish,F,אידית,269
Jewish,F,נור,266
Jewish,F,אסיה,265
Jewish,F,יוליה,264
Jewish,F,אסיף,264
Jewish,F,קרולין,263
Jewish,F,סברינה,262
Jewish,F,ריי,262
Jewish,F,אוליביה,261
Jewish,F,אופרי,260
Jewish,F,אריאה,259
Jewish,F,פלורה,256
Jewish,F,אוריאנה,255
Jewish,F,שנית,255
Jewish,F,מירן,254
Jewish,F,מטילדה,253
Jewish,F,דיצה,253
Jewish,F,מרום,253
Jewish,F,מאורי,253
Jewish,F,ליבה,251
Jewish,F,אנסטסיה,251
Jewish,F,שליו,251
Jewish,F,צהלה,250
Jewish,F,הלנה,249
Jewish,F,שינדל,249
Jewish,F,ידידה,248
Jewish,F,רנית,247
Jewish,F,ג'ולי,247
Jewish,F,ג'וליה,247
Jewish,F,הלית,246
Jewish,F,יקירה,245
Jewish,F,קורן,245
Jewish,F,יהלום,245
Jewish,F,הני,244
Jewish,F,קדם,243
Jewish,F,שירין,242
Jewish,F,ג'סיקה,242
Jewish,F,זהרה,241
Jewish,F,רימון,241
Jewish,F,איזבל,238
Jewish,F,ריזל,238
Jewish,F,תם,238
Jewish,F,עלקא,238
Jewish,F,מתי,236
Jewish,F,סולי,235
Jewish,F,פרי,235
Jewish,F,לילה,235
Jewish,F,ברית,234
Jewish,F,רייזי,233
Jewish,F,ציון,233
Jewish,F,שבות,233
Jewish,F,מלאני,232
Jewish,F,נרי,232
Jewish,F,אדרת,231
Jewish,F,אריקה,230
Jewish,F,עטיל,230
Jewish,F,שבע,228
Jewish,F,לשם,226
Jewish,F,זלדה,224
Jewish,F,אילונה,224
Jewish,F,ורוניקה,224
Jewish,F,גבריאל,224
Jewish,F,שיר אל,223
Jewish,F,שלוה,222
Jewish,F,הוד,222
Jewish,F,צפרירה,220
Jewish,F,צפנת,219
Jewish,F,אריאנה,218
Jewish,F,ולריה,217
Jewish,F,גולדי,216
Jewish,F,ליסה,216
Jewish,F,אנבל,216
Jewish,F,גלילה,215
Jewish,F,אלן,215
Jewish,F,לביאה,215
Jewish,F,פנינית,215
Jewish,F,איטא,214
Jewish,F,נטעלי,212
Jewish,F,דבי,210
Jewish,F,לבונה,210
Jewish,F,ענתי,209
Jewish,F,סלי,209
Jewish,F,סלין,209
Jewish,F,שוש,208
Jewish,F,שקמה,207
Jewish,F,נוהר,207
Jewish,F,אפק,206
Jewish,F,ויויאן,205
Jewish,F,קרנית,205
Jewish,F,מיקי,204
Jewish,F,מטי,204
Jewish,F,הדרה,204
Jewish,F,סנדי,204
Jewish,F,לטם,203
Jewish,F,הינדל,203
Jewish,F,מבשרת,203
Jewish,F,רפאלה,202
Jewish,F,פרחה,202
Jewish,F,אילאיל,201
Jewish,F,מיראל,201
Jewish,F,שינא,201
Jewish,F,שונית,200
Jewish,F,ריקה,199
Jewish,F,תימור,199
Jewish,F,אמבר,199
Jewish,F,ברטה,197
Jewish,F,ראומה,197
Jewish,F,טלילה,196
Jewish,F,מאטיל,196
Jewish,F,עומרי,196
Jewish,F,איילין,195
Jewish,F,אטל,194
Jewish,F,איבון,194
